x,year,date,ARI,ARI_per,COL,COL_per,LAD,LAD_per,SDP,SDP_per,SFG,SFG_per
1030,2012,2012/8/22,20027,40.80813432,30426,61.75234925,36878,65.85357143,21037,47.34224503,41492,96.66837519
1033,2012,2012/8/24,32726,66.68432635,43961,89.22286944,56000,100,18081,40.6899811,42050,97.96840781
1036,2012,2012/8/25,27619,56.27801777,30148,61.18812283,40173,71.7375,29887,67.25852912,42081,98.04063184
1039,2012,2012/8/26,28172,57.40484147,28368,57.57545006,39805,71.08035714,16442,37.00153029,42133,98.16178184
1042,2012,2012/8/27,17966,36.60852555,25155,51.05437275,40284,71.93571429,25018,56.30119723,41645,97.02483575
1044,2012,2012/8/28,20550,41.87382835,27366,55.54179944,41907,74.83392857,27651,62.22657305,41486,96.65439635
1048,2012,2012/8/29,18451,37.59678865,30152,61.1962412,54621,97.5375,22948,51.64281213,41679,97.10404921
1071,2012,2012/9/11,23966,48.83446084,30678,62.2638063,37622,67.18214286,32346,72.79233054,41735,97.23451843
1076,2012,2012/9/12,25048,51.0392045,25817,52.39796229,35992,64.27142857,24818,55.85111171,42045,97.95675877
1079,2012,2012/9/14,31856,64.91156573,26631,54.05004972,31607,56.44107143,32403,72.92060491,41038,95.61064256
1082,2012,2012/9/15,39169,79.81294319,24182,49.07958028,33540,59.89285714,32691,73.56872806,41035,95.60365314
1085,2012,2012/9/16,29051,59.19594099,42359,85.97146394,40619,72.53392857,42397,95.41137816,41666,97.07376171
1088,2012,2012/9/18,20811,42.40565653,33689,68.37490613,50560,90.28571429,33407,75.18003421,41791,97.36498765
1090,2012,2012/9/19,21013,42.81726302,32448,65.85618315,43309,77.3375,44436,100,41517,96.72662038
1092,2012,2012/9/20,17821,36.31306545,22277,45.21320858,40167,71.72678571,24610,55.38302277,41280,96.17445599
1108,2012,2012/9/28,28463,57.99779933,26660,54.10890788,42449,75.80178571,21814,49.09082726,41718,97.1949117
1111,2012,2012/9/29,29084,59.26318363,27057,54.91465568,35754,63.84642857,29523,66.43937348,41292,96.20241368
1115,2012,2012/9/30,35535,72.40810172,30288,61.47226563,37133,66.30892857,21337,48.0173733,41728,97.21820978
1117,2012,2012/10/1,24123,49.15437281,31060,63.03911023,40724,72.72142857,18643,41.9547214,42418,98.82577699
1119,2012,2012/10/2,22466,45.77797702,20239,41.07690122,35607,63.58392857,19560,44.01836349,41153,95.87857043
1121,2012,2012/10/3,24344,49.60469476,21510,43.65651194,33624,60.04285714,17205,38.71860654,41516,96.72429057
1126,2013,2013/4/8,21392,43.5895346,18341,37.22473666,42473,75.84464286,34929,78.60518499,41128,95.82032524
1128,2013,2013/4/9,19872,40.49229766,23445,47.58377139,34014,60.73928571,38823,87.36834999,42201,98.32020875
1131,2013,2013/4/10,17769,36.20710734,30380,61.65898805,39446,70.43928571,33722,75.88891889,41133,95.83197428
1135,2013,2013/4/12,29520,60.1516016,42507,86.27184348,52136,93.1,31223,70.26510037,41910,97.64223475
1137,2013,2013/4/13,37214,75.82932594,19124,38.81390676,52393,93.55892857,31336,70.51939869,41606,96.93397325
1139,2013,2013/4/14,32313,65.84277447,21724,44.09084451,44930,80.23214286,29101,65.48969304,41559,96.8244723
1158,2013,2013/4/25,24532,49.98777406,30255,61.40528912,49003,87.50535714,14596,32.84724098,42747,99.59228368
1159,2013,2013/4/26,28801,58.68652702,29099,59.05908141,31570,56.375,16263,36.59870375,41294,96.2070733
1162,2013,2013/4/27,31019,63.20604776,39220,79.6005764,47602,85.00357143,16730,37.64965343,41955,97.74707609
1164,2013,2013/4/28,24852,50.63982395,41595,84.42085608,32848,58.65714286,24234,54.536862,41756,97.28344439
1167,2013,2013/4/29,18036,36.75116146,40148,81.48403726,30981,55.32321429,29898,67.28328382,42113,98.11518569
1169,2013,2013/4/30,20319,41.40312984,40972,83.15642061,33611,60.01964286,33646,75.7178864,41171,95.92050697
1171,2013,2013/5/1,21277,43.35520417,33128,67.23630533,31512,56.27142857,27080,60.9415789,41140,95.84828293
1193,2013,2013/5/9,20000,40.75311761,43365,88.01323294,41721,74.50178571,18763,42.22477271,41171,95.92050697
1198,2013,2013/5/11,28144,57.34778711,41412,84.04944085,42208,75.37142857,18702,42.08749662,41226,96.04864638
