x,year,date,CHC,CHC_per,CIN,CIN_per,MIL,MIL_per,PIT,PIT_per,STL,STL_per
1124,2013,2013/4/16,29344,69.2500118,35645,83.30412022,29362,64.83681491,28671,72.55909298,30090,63.35803925
1129,2013,2013/4/18,26083,61.55425497,28882,67.4986562,29161,64.39296913,15492,39.20635724,38648,81.37791628
1146,2013,2013/4/29,32169,75.9168358,18090,42.27722078,28346,62.59329594,14697,37.19441211,40422,85.11328224
1149,2013,2013/4/30,31303,73.87312975,24021,56.13825983,37123,81.97456167,34796,88.05992813,39919,84.05415649
1151,2013,2013/5/1,34832,82.20134988,16426,38.38837084,21255,46.93503511,38623,97.745103,35422,74.5851933
1154,2013,2013/5/2,32865,77.55935243,19308,45.12374676,24154,53.33657201,32814,83.04398441,39062,82.24964204
1156,2013,2013/5/3,32579,76.88441025,25730,60.13227699,22204,49.03060549,15009,37.98400567,34788,73.25023162
1160,2013,2013/5/4,36455,86.03152877,32640,76.28128725,40068,88.47767522,15727,39.80108316,39166,82.46862629
1162,2013,2013/5/5,33449,78.93755605,33251,77.70922433,36156,79.83924392,20615,52.17138229,42264,88.9918302
1165,2013,2013/5/6,32618,76.97644782,41678,97.40353829,38620,85.28021905,24366,61.66422028,40084,84.40158342
1169,2013,2013/5/7,30161,71.1780809,38813,90.70789222,22467,49.61135892,25118,63.56734322,38480,81.02417249
1172,2013,2013/5/8,26354,62.19379808,40716,95.15529692,22616,49.94037893,10539,26.67155945,39644,83.4751116
1181,2013,2013/5/13,35080,82.78661443,40909,95.60634743,28287,62.46301285,9570,24.21926406,47345,99.69047419
1184,2013,2013/5/14,38123,89.96790485,41321,96.56921171,26384,58.26083116,11288,28.56709015,37731,79.44706477
1186,2013,2013/5/15,38083,89.87350734,38822,90.72892566,36963,81.6212516,18705,47.33765248,34882,73.44815969
1191,2013,2013/5/17,34890,82.33822627,28812,67.33506275,33874,74.80015899,29313,74.18383358,42528,89.5477133
1194,2013,2013/5/18,38766,91.48534479,18498,43.23073687,40410,89.2328755,20873,52.82431543,44696,94.11269266
1197,2013,2013/5/19,34258,80.84674565,27031,63.17277805,44626,98.54259595,26404,66.82188591,42645,89.79407058
1214,2013,2013/5/29,31279,73.81649124,38874,90.85045222,38617,85.27359449,29975,75.85918915,44090,92.83668828
1217,2013,2013/5/30,31968,75.44248832,40740,95.2113861,21023,46.4227355,24186,61.20868553,40909,86.1387181
